root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940622346180,['pharyngeal GRN'],PRW.182,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,214,587
720575940626015242,['pharyngeal GRN'],GNG.PRW.20,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,182,795
720575940617828766,['pharyngeal GRN'],PRW.171,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,180,585
720575940629009468,['pharyngeal GRN'],GNG.1322,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,174,702
720575940625032548,['pharyngeal GRN'],GNG.1591,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,84,531
720575940625163790,['pharyngeal GRN'],GNG.1619,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,97,458
720575940618788944,['pharyngeal GRN'],PRW.GNG.18,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,438,1099
720575940633165980,['pharyngeal GRN'],PRW.94,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,431,1006
720575940616616861,['pharyngeal GRN'],GNG.1178,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],left,168,1303
720575940633791935,['pharyngeal GRN'],GNG.PRW.14,ACH,afferent,sensory,gustatory,accessory_pharyngeal_nerve_sensory_group1,[],,aPhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,161,1190
